key,id,name,type,variable,value,year,crime_type,place_name
1600000US0816000--2009--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,2578.767311,2009,Larceny,"Colorado Springs, CO"
1600000US0816000--2009--MV theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,264.1761241,2009,MV theft,"Colorado Springs, CO"
1600000US0816000--2009--Murder-Manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3.734817965,2009,Murder-Manslaughter,"Colorado Springs, CO"
1600000US0816000--2009--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3665.848327,2009,Property crime,"Colorado Springs, CO"
1600000US0816000--2009--Rape--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,85.65182533,2009,Rape,"Colorado Springs, CO"
1600000US0816000--2009--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,130.7186288,2009,Robbery,"Colorado Springs, CO"
1600000US0816000--2009--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,490.008117,2009,Violent crime,"Colorado Springs, CO"
1600000US0816000--2010--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,274.4504707,2010,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2010--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,9450.445605,2010,All Crimes,"Colorado Springs, CO"
1600000US0816000--2010--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,25.13282699,2010,Arson,"Colorado Springs, CO"
1600000US0816000--2010--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,867.5851877,2010,Burglary,"Colorado Springs, CO"
1600000US0816000--2010--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3029.510965,2010,Larceny,"Colorado Springs, CO"
1600000US0816000--2010--MV theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,323.7108116,2010,MV theft,"Colorado Springs, CO"
1600000US0816000--2010--Murder-Manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,5.026565398,2010,Murder-Manslaughter,"Colorado Springs, CO"
1600000US0816000--2010--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4220.806965,2010,Property crime,"Colorado Springs, CO"
1600000US0816000--2010--Rape--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,80.1737181,2010,Rape,"Colorado Springs, CO"
1600000US0816000--2010--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,132.19867,2010,Robbery,"Colorado Springs, CO"
1600000US0816000--2010--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,491.8494242,2010,Violent crime,"Colorado Springs, CO"
1600000US0816000--2011--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,252.7851208,2011,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2011--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,8395.251133,2011,All Crimes,"Colorado Springs, CO"
1600000US0816000--2011--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,25.25490937,2011,Arson,"Colorado Springs, CO"
1600000US0816000--2011--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,784.3183535,2011,Burglary,"Colorado Springs, CO"
1600000US0816000--2011--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,2684.80929,2011,Larceny,"Colorado Springs, CO"
1600000US0816000--2011--MV theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,275.6797583,2011,MV theft,"Colorado Springs, CO"
