key,id,name,type,variable,value,year,crime_type,place_name
1600000US0662000--2006--All Crimes--count,1600000US0662000,"Riverside, California",place,count,28693.0,2006,All Crimes,"Riverside, CA"
1600000US0662000--2006--Arson--count,1600000US0662000,"Riverside, California",place,count,131.0,2006,Arson,"Riverside, CA"
1600000US0662000--2006--Forcible rape--count,1600000US0662000,"Riverside, California",place,count,83.0,2006,Forcible rape,"Riverside, CA"
1600000US0662000--2014--Rape (revised definition)--count,1600000US0662000,"Riverside, California",place,count,143.0,2014,Rape (revised definition),"Riverside, CA"
1600000US0662000--2010--Murder and nonnegligent manslaughter--count,1600000US0662000,"Riverside, California",place,count,9.0,2010,Murder and nonnegligent manslaughter,"Riverside, CA"
1600000US0662000--2008--Forcible rape--count,1600000US0662000,"Riverside, California",place,count,109.0,2008,Forcible rape,"Riverside, CA"
1600000US0662000--2014--Murder and nonnegligent manslaughter--count,1600000US0662000,"Riverside, California",place,count,12.0,2014,Murder and nonnegligent manslaughter,"Riverside, CA"
1600000US0662000--2011--Violent crime--rate,1600000US0662000,"Riverside, California",place,rate,426.09524367118456,2011,Violent crime,"Riverside, CA"
1600000US0662000--2007--Robbery--rate,1600000US0662000,"Riverside, California",place,rate,229.19228096434486,2007,Robbery,"Riverside, CA"
1600000US0662000--2008--Robbery--count,1600000US0662000,"Riverside, California",place,count,726.0,2008,Robbery,"Riverside, CA"
1600000US0662000--2006--Aggravated assault--rate,1600000US0662000,"Riverside, California",place,rate,377.8638733438562,2006,Aggravated assault,"Riverside, CA"
1600000US0662000--2010--Forcible rape--rate,1600000US0662000,"Riverside, California",place,rate,25.839878883849746,2010,Forcible rape,"Riverside, CA"
1600000US0662000--2006--Motor vehicle theft--count,1600000US0662000,"Riverside, California",place,count,2424.0,2006,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2010--Property crime--rate,1600000US0662000,"Riverside, California",place,rate,3300.5476066640385,2010,Property crime,"Riverside, CA"
1600000US0662000--2010--Larceny--count,1600000US0662000,"Riverside, California",place,count,6434.0,2010,Larceny,"Riverside, CA"
1600000US0662000--2007--Arson--count,1600000US0662000,"Riverside, California",place,count,103.0,2007,Arson,"Riverside, CA"
1600000US0662000--2010--Arson--rate,1600000US0662000,"Riverside, California",place,rate,16.232744427033815,2010,Arson,"Riverside, CA"
1600000US0662000--2014--Arson--count,1600000US0662000,"Riverside, California",place,count,88.0,2014,Arson,"Riverside, CA"
1600000US0662000--2011--Forcible rape--rate,1600000US0662000,"Riverside, California",place,rate,18.540022052868334,2011,Forcible rape,"Riverside, CA"
1600000US0662000--2009--Arson--rate,1600000US0662000,"Riverside, California",place,rate,26.344661537794586,2009,Arson,"Riverside, CA"
1600000US0662000--2009--Larceny--rate,1600000US0662000,"Riverside, California",place,rate,2080.561308029119,2009,Larceny,"Riverside, CA"
1600000US0662000--2012--Property crime--rate,1600000US0662000,"Riverside, California",place,rate,3450.3655129301,2012,Property crime,"Riverside, CA"
1600000US0662000--2007--Aggravated assault--count,1600000US0662000,"Riverside, California",place,count,1104.0,2007,Aggravated assault,"Riverside, CA"
1600000US0662000--2012--Burglary--count,1600000US0662000,"Riverside, California",place,count,2247.0,2012,Burglary,"Riverside, CA"
1600000US0662000--2010--Arson--count,1600000US0662000,"Riverside, California",place,count,49.0,2010,Arson,"Riverside, CA"
1600000US0662000--2011--Larceny--count,1600000US0662000,"Riverside, California",place,count,6278.0,2011,Larceny,"Riverside, CA"
