name,type,variable,value,year,crime_type
"New York, New York",place,rate,1267.427923,2015,Larceny
"New York, New York",place,rate,4071.523046,2016,All Crimes
"New York, New York",place,rate,181.4421688,2016,Robbery
"New York, New York",place,rate,3.910391568,2016,Murder and nonnegligent manslaughter
"New York, New York",place,rate,6.033919386,2007,Murder and nonnegligent manslaughter
"New York, New York",place,rate,3.989935358,2013,Murder and nonnegligent manslaughter
"New York, New York",place,rate,3.929695969,2014,Murder and nonnegligent manslaughter
"Portland, Oregon",place,rate,5234.767863,2014,Property Crime
"Portland, Oregon",place,rate,599.4612373,2012,Motor Vehicle Theft
"Portland, Oregon",place,rate,546,2011,Motor Vehicle Theft
"Portland, Oregon",place,rate,43,2011,Forcible Rape
"Portland, Oregon",place,rate,312,2011,Aggravated Assault
"Portland, Oregon",place,rate,75,2006,Arson
"Portland, Oregon",place,rate,687,2007,Violent Crime
"Portland, Oregon",place,rate,482,2013,Violent Crime
"Portland, Oregon",place,rate,4084,2007,Larceny
"Portland, Oregon",place,rate,5030,2010,Property Crime
"Portland, Oregon",place,rate,566,2009,Motor Vehicle Theft
"Portland, Oregon",place,rate,316,2012,Aggravated Assault
"Portland, Oregon",place,rate,540,2010,Violent Crime
"Portland, Oregon",place,rate,417,2006,Aggravated Assault
"Portland, Oregon",place,rate,3498,2009,Larceny
"Portland, Oregon",place,rate,886,2007,Motor Vehicle Theft
"Portland, Oregon",place,rate,677,2013,Burglary
"Portland, Oregon",place,rate,11179,2010,All Crimes
"Portland, Oregon",place,rate,47,2009,Arson
"Portland, Oregon",place,rate,368,2008,Aggravated Assault
"Portland, Oregon",place,rate,54,2006,Forcible Rape
"Portland, Oregon",place,rate,3725,2010,Larceny
"Portland, Oregon",place,rate,38,2013,Rape (Legacy Definition)
"Portland, Oregon",place,rate,37,2010,Arson
"Portland, Oregon",place,rate,3812,2011,Larceny
"Portland, Oregon",place,rate,11258,2011,All Crimes
"Portland, Oregon",place,rate,603,2008,Motor Vehicle Theft
"Portland, Oregon",place,rate,392,2007,Aggravated Assault
"Portland, Oregon",place,rate,13176,2007,All Crimes
"Portland, Oregon",place,rate,3647,2013,Larceny
"Portland, Oregon",place,rate,137,2014,Robbery
"Portland, Oregon",place,rate,539,2013,Motor Vehicle Theft
"Portland, Oregon",place,rate,729,2010,Burglary
"Portland, Oregon",place,rate,899,2007,Burglary
"Portland, Oregon",place,rate,5901,2006,Property Crime
"Portland, Oregon",place,rate,11261,2012,All Crimes
"Portland, Oregon",place,rate,5869,2007,Property Crime
"Portland, Oregon",place,rate,3745,2012,Larceny
"Portland, Oregon",place,rate,239,2006,Robbery
"Portland, Oregon",place,rate,11876,2008,All Crimes
"Portland, Oregon",place,rate,204,2008,Robbery
"Portland, Oregon",place,rate,3,2006,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,26,2014,Arson
"Portland, Oregon",place,rate,1011,2006,Burglary
"Portland, Oregon",place,rate,548,2014,Motor Vehicle Theft
"Portland, Oregon",place,rate,5092,2012,Property Crime
"Portland, Oregon",place,rate,44,2009,Forcible Rape
"Portland, Oregon",place,rate,239,2007,Robbery
"Portland, Oregon",place,rate,42,2012,Arson
"Portland, Oregon",place,rate,184,2009,Robbery
"Portland, Oregon",place,rate,673,2014,Burglary
"Portland, Oregon",place,rate,4723,2009,Property Crime
"Portland, Oregon",place,rate,54,2008,Arson
"Portland, Oregon",place,rate,11442,2014,All Crimes
"Portland, Oregon",place,rate,320,2009,Aggravated Assault
"Portland, Oregon",place,rate,42,2014,Rape (Legacy Definition)
"Portland, Oregon",place,rate,40,2010,Forcible Rape
"Portland, Oregon",place,rate,574,2010,Motor Vehicle Theft
"Portland, Oregon",place,rate,158,2012,Robbery
"Portland, Oregon",place,rate,729,2011,Burglary
"Portland, Oregon",place,rate,4,2014,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,714,2006,Violent Crime
"Portland, Oregon",place,rate,4,2008,Murder And Nonnegligent Manslaughter
"Portland, Oregon",place,rate,13306,2006,All Crimes
"Portland, Oregon",place,rate,10602,2009,All Crimes
"Portland, Oregon",place,rate,291,2013,Aggravated Assault
"Portland, Oregon",place,rate,4063,2006,Larceny
"Portland, Oregon",place,rate,553,2009,Violent Crime
"Portland, Oregon",place,rate,52,2007,Forcible Rape
"Portland, Oregon",place,rate,778,2008,Burglary
"Portland, Oregon",place,rate,150,2013,Robbery
