key,id,name,type,variable,value,year,crime_type,place_name
1600000US0816000--2014--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,21.126016689553186,2014,Arson,"Colorado Springs, CO"
1600000US0816000--2010--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,20.0,2010,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2006--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,30.519602873619647,2006,Arson,"Colorado Springs, CO"
1600000US0816000--2009--Murder and nonnegligent manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3.734817964972387,2009,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2013--Rape (revised definition)--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,84.84136956900583,2013,Rape (revised definition),"Colorado Springs, CO"
1600000US0816000--2007--Violent crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1985.0,2007,Violent crime,"Colorado Springs, CO"
1600000US0816000--2007--Motor vehicle theft--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1487.0,2007,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2013--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4167.545653828868,2013,Property crime,"Colorado Springs, CO"
1600000US0816000--2006--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,336.24640731196615,2006,Aggravated assault,"Colorado Springs, CO"
1600000US0816000--2010--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3029.5109654524163,2010,Larceny,"Colorado Springs, CO"
1600000US0816000--2006--Violent crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,2145.0,2006,Violent crime,"Colorado Springs, CO"
1600000US0816000--2012--Violent crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1968.0,2012,Violent crime,"Colorado Springs, CO"
1600000US0816000--2010--Motor vehicle theft--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1288.0,2010,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2010--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,491.8494242069336,2010,Violent crime,"Colorado Springs, CO"
1600000US0816000--2008--Robbery--count,1600000US0816000,"Colorado Springs, Colorado",place,count,518.0,2008,Robbery,"Colorado Springs, CO"
1600000US0816000--2012--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,2881.4190572466905,2012,Larceny,"Colorado Springs, CO"
1600000US0816000--2006--Property crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,18076.0,2006,Property crime,"Colorado Springs, CO"
1600000US0816000--2013--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,26.0,2013,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2011--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,440.1907099697885,2011,Violent crime,"Colorado Springs, CO"
1600000US0816000--2010--Arson--count,1600000US0816000,"Colorado Springs, Colorado",place,count,100.0,2010,Arson,"Colorado Springs, CO"
1600000US0816000--2006--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,15.0,2006,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2014--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,458.25476627658446,2014,Violent crime,"Colorado Springs, CO"
1600000US0816000--2007--Violent crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,530.5897699084767,2007,Violent crime,"Colorado Springs, CO"
1600000US0816000--2008--Property crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,16067.0,2008,Property crime,"Colorado Springs, CO"
1600000US0816000--2010--Motor vehicle theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,323.7108116395149,2010,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2006--Forcible rape--count,1600000US0816000,"Colorado Springs, Colorado",place,count,251.0,2006,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2006--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,162.41736485787152,2006,Robbery,"Colorado Springs, CO"
1600000US0816000--2008--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,24.0,2008,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2010--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4220.806964809016,2010,Property crime,"Colorado Springs, CO"
1600000US0816000--2014--Motor vehicle theft--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1646.0,2014,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2008--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,3049.922965727016,2008,Larceny,"Colorado Springs, CO"
1600000US0816000--2007--Robbery--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,141.13420579933282,2007,Robbery,"Colorado Springs, CO"
1600000US0816000--2011--All Crimes--count,1600000US0816000,"Colorado Springs, Colorado",place,count,35569.0,2011,All Crimes,"Colorado Springs, CO"
1600000US0816000--2010--Larceny--count,1600000US0816000,"Colorado Springs, Colorado",place,count,12054.0,2010,Larceny,"Colorado Springs, CO"
1600000US0816000--2010--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,867.5851877170849,2010,Burglary,"Colorado Springs, CO"
1600000US0816000--2008--Burglary--count,1600000US0816000,"Colorado Springs, Colorado",place,count,3402.0,2008,Burglary,"Colorado Springs, CO"
1600000US0816000--2007--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,849.7455307501497,2007,Burglary,"Colorado Springs, CO"
1600000US0816000--2009--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,15.0,2009,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
