name,type,variable,value,year,crime_type,key,id,place_name
"Norfolk, Virginia",place,rate,254.5920547,2010,Robbery,,,
"Norfolk, Virginia",place,rate,267.9744956,2009,Robbery,,,
"Norfolk, Virginia",place,rate,270.1076747,2018,Aggravated assault,,,
"Norfolk, Virginia",place,rate,280.4187152,2011,Aggravated assault,,,
"Norfolk, Virginia",place,rate,287.705599,2018,Burglary,,,
"Norfolk, Virginia",place,rate,292.8341286,2017,Motor vehicle theft,,,
"Norfolk, Virginia",place,rate,296.3681651,2012,Motor vehicle theft,,,
"Norfolk, Virginia",place,rate,297.4769101,2014,Aggravated assault,,,
"Norfolk, Virginia",place,rate,298.4064606,2012,Aggravated assault,,,
"Norfolk, Virginia",place,rate,3063.569682,2015,Larceny,,,
"Norfolk, Virginia",place,rate,309.6967108,2010,Aggravated assault,,,
"Norfolk, Virginia",place,rate,310.1458535,2013,Motor vehicle theft,,,
"Norfolk, Virginia",place,rate,319.4901182,2011,Motor vehicle theft,,,
"Norfolk, Virginia",place,count,321,2018,Robbery,,,
"Norfolk, Virginia",place,rate,322.4921935,2018,Motor vehicle theft,,,
"Norfolk, Virginia",place,rate,327.832464,2006,Aggravated assault,,,
"Norfolk, Virginia",place,rate,330.0765216,2009,Aggravated assault,,,
"Norfolk, Virginia",place,rate,334.7981639,2008,Aggravated assault,,,
"Norfolk, Virginia",place,rate,334.8423671,2017,Aggravated assault,,,
"Norfolk, Virginia",place,rate,340.473023,2013,Aggravated assault,,,
"Norfolk, Virginia",place,count,371,2017,Robbery,,,
"Norfolk, Virginia",place,rate,381.3025717,2007,Aggravated assault,,,
"Norfolk, Virginia",place,rate,386.5968893,2016,Aggravated assault,,,
"Norfolk, Virginia",place,count,7518,2015,Larceny,,,
"Norfolk, Virginia",place,count,392,2014,Robbery,,,
"Norfolk, Virginia",place,rate,393.8487826,2010,Motor vehicle theft,,,
"Norfolk, Virginia",place,rate,399.2926815,2007,Robbery,,,
"Norfolk, Virginia",place,rate,404.0885252,2009,Motor vehicle theft,,,
"Norfolk, Virginia",place,rate,404.6681977,2006,Robbery,,,
"Norfolk, Virginia",place,count,414,2013,Robbery,,,
"Norfolk, Virginia",place,rate,442.6591994,2006,Motor vehicle theft,,,
"Norfolk, Virginia",place,rate,446.681159,2008,Robbery,,,
"Norfolk, Virginia",place,rate,157.7017115,2015,Motor vehicle theft,,,
"Norfolk, Virginia",place,rate,450.630312,2007,Motor vehicle theft,,,
"Norfolk, Virginia",place,count,387,2015,Motor vehicle theft,,,
"Norfolk, Virginia",place,rate,464.0940957,2018,Violent crime,,,
"Norfolk, Virginia",place,rate,471.471104,2017,Burglary,,,
"Norfolk, Virginia",place,rate,474.0898695,2016,Burglary,,,
"Norfolk, Virginia",place,rate,474.3328498,2008,Motor vehicle theft,,,
"Norfolk, Virginia",place,count,489,2016,Robbery,,,
"Norfolk, Virginia",place,count,491,2012,Robbery,,,
"Norfolk, Virginia",place,count,503,2014,Motor vehicle theft,,,
"Norfolk, Virginia",place,rate,518.0550272,2014,Violent crime,,,
"Norfolk, Virginia",place,rate,531.0064028,2014,Burglary,,,
"Norfolk, Virginia",place,count,534,2016,Motor vehicle theft,,,
"Norfolk, Virginia",place,rate,11.40994295,2015,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,543.0019201,2012,Violent crime,,,
"Norfolk, Virginia",place,rate,555.895428,2017,Violent crime,,,
"Norfolk, Virginia",place,rate,573.3856848,2013,Violent crime,,,
"Norfolk, Virginia",place,rate,579.5591443,2011,Violent crime,,,
"Norfolk, Virginia",place,count,596,2010,Robbery,,,
"Norfolk, Virginia",place,rate,617.2575822,2010,Violent crime,,,
"Norfolk, Virginia",place,count,625,2011,Robbery,,,
"Norfolk, Virginia",place,count,630,2009,Robbery,,,
"Norfolk, Virginia",place,rate,655.8994798,2009,Violent crime,,,
"Norfolk, Virginia",place,rate,657.6216559,2016,Violent crime,,,
"Norfolk, Virginia",place,count,660,2018,Aggravated assault,,,
"Norfolk, Virginia",place,rate,688.9604125,2006,Burglary,,,
"Norfolk, Virginia",place,count,689,2011,Aggravated assault,,,
"Norfolk, Virginia",place,count,703,2018,Burglary,,,
"Norfolk, Virginia",place,count,718,2017,Motor vehicle theft,,,
"Norfolk, Virginia",place,count,725,2010,Aggravated assault,,,
"Norfolk, Virginia",place,count,727,2012,Motor vehicle theft,,,
"Norfolk, Virginia",place,count,732,2012,Aggravated assault,,,
"Norfolk, Virginia",place,count,735,2014,Aggravated assault,,,
"Norfolk, Virginia",place,count,28,2015,Murder and nonnegligent manslaughter,,,
"Norfolk, Virginia",place,rate,743.2986841,2007,Burglary,,,
"Norfolk, Virginia",place,count,767,2013,Motor vehicle theft,,,
"Norfolk, Virginia",place,count,768,2006,Aggravated assault,,,
"Norfolk, Virginia",place,count,776,2009,Aggravated assault,,,
"Norfolk, Virginia",place,count,785,2011,Motor vehicle theft,,,
